City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
161,petropavlovsk-kamchatskiy,53.0452,158.6483,-9.669999999999959,48,75,4.0,RU,43200
162,ponta do sol,32.6667,-17.1,16.510000000000048,77,82,7.73,PT,0
163,husavik,66.0449,-17.3389,1.160000000000025,72,99,3.77,IS,0
164,buala,-8.145,159.5921,27.470000000000027,82,100,3.54,SB,39600
165,san vicente,-26.6167,-54.1333,17.79000000000002,98,52,0.81,AR,-10800
166,kamenka,51.3223,42.7678,-9.569999999999993,66,2,1.93,RU,10800
167,dubti,11.7361,41.0853,25.480000000000018,42,7,4.4,ET,10800
168,elko,41.0002,-115.5012,-2.75,90,100,2.53,US,-28800
169,nuuk,64.1835,-51.7216,-4.42999999999995,67,53,5.5,GL,-10800
170,tasiilaq,65.6145,-37.6368,-1.9099999999999682,80,88,2.38,GL,-10800
171,camopi,3.1655,-52.3158,21.730000000000018,100,100,0.69,GF,-10800
172,caravelas,-17.7125,-39.2481,21.340000000000032,83,100,1.84,BR,-10800
173,synya,65.3718,58.0387,-21.409999999999968,100,100,1.49,RU,10800
174,muros,42.7762,-9.0603,6.580000000000041,92,60,3.58,ES,3600
175,novyy urengoy,66.0833,76.6333,-3.0299999999999727,94,100,6.7,RU,18000
176,altamira,-3.2033,-52.2064,22.200000000000045,99,100,1.22,BR,-10800
177,kruisfontein,-34.0033,24.7314,13.82000000000005,77,86,5.58,ZA,7200
178,vokhma,58.9303,46.7586,-17.539999999999964,98,24,1.45,RU,10800
179,virginia beach,36.8529,-75.978,2.0100000000000477,56,6,2.59,US,-18000
180,taoudenni,22.6783,-3.9836,24.0,20,53,6.09,ML,0
181,hilo,19.7297,-155.09,23.120000000000005,93,86,0.89,US,-36000
182,gamba,-2.65,10.0,24.660000000000025,91,83,2.53,GA,3600
183,guerrero negro,27.9769,-114.0611,17.03000000000003,87,89,4.62,MX,-25200
184,rapar,23.5667,70.6333,26.670000000000016,24,0,5.82,IN,19800
185,kahului,20.8947,-156.47,24.910000000000025,81,100,4.02,US,-36000
186,aykhal,66.0,111.5,-24.529999999999973,97,100,5.29,RU,32400
187,san mateo ixtatan,15.8319,-91.4781,7.170000000000016,98,55,2.43,GT,-21600
188,pacific grove,36.6177,-121.9166,11.170000000000016,90,72,2.68,US,-28800
189,mao,39.8885,4.2658,11.310000000000002,100,20,2.06,ES,3600
190,havoysund,70.9963,24.6622,-2.8700000000000045,77,34,5.29,NO,3600
191,tauramena,5.0183,-72.7492,21.720000000000027,90,98,1.41,CO,-18000
192,riverton,40.5219,-111.9391,6.03000000000003,78,100,11.83,US,-25200
193,vila franca do campo,37.7167,-25.4333,13.439999999999998,73,46,1.01,PT,-3600
194,talcahuano,-36.7167,-73.1167,11.950000000000045,82,0,3.74,CL,-10800
195,scarborough,54.2797,-0.4044,7.03000000000003,85,100,3.13,GB,0
196,petropavlovka,50.6114,105.3196,-14.70999999999998,72,3,2.08,RU,28800
197,dambovicioara,45.45,25.2333,-4.6200000000000045,96,100,2.38,RO,7200
198,madimba,-10.4,40.3333,28.920000000000016,63,56,3.59,TZ,10800
199,antalaha,-14.9003,50.2788,27.840000000000032,62,36,3.72,MG,10800
200,macusani,-14.0833,-70.4333,1.0100000000000477,87,74,1.51,PE,-18000
201,juiz de fora,-21.7642,-43.3503,18.230000000000018,97,100,2.49,BR,-10800
202,angoche,-16.2325,39.9086,29.360000000000014,62,34,4.39,MZ,7200
203,springbok,-29.6643,17.8865,11.410000000000025,62,21,1.9,ZA,7200
204,aljezur,37.3191,-8.8033,15.510000000000048,85,100,5.5,PT,0
205,dryden,49.7833,-92.7503,-7.839999999999975,93,100,5.14,CA,-21600
206,eydhafushi,5.1033,73.0708,26.689999999999998,77,74,3.29,MV,18000
207,bambous virieux,-20.3428,57.7575,27.900000000000034,64,97,5.92,MU,14400
208,kajaani,64.2273,27.7285,-5.96999999999997,93,100,3.09,FI,7200
209,chernyshevskiy,63.0128,112.4714,-21.529999999999973,95,70,4.19,RU,32400
210,nanortalik,60.1432,-45.2371,0.8799999999999955,77,100,7.13,GL,-10800
211,nara,34.6851,135.8049,13.610000000000014,32,88,2.48,JP,32400
212,quepos,9.4236,-84.1652,22.189999999999998,82,90,2.33,CR,-21600
213,lima,-12.0432,-77.0282,18.83000000000004,80,2,1.82,PE,-18000
214,pochutla,15.7432,-96.4661,22.120000000000005,62,1,1.64,MX,-21600
215,jiangkou,25.4872,119.1986,15.510000000000048,77,100,5.62,CN,28800
216,golden,39.7555,-105.2211,10.830000000000041,45,0,2.24,US,-25200
217,yumen,40.2833,97.2,-5.239999999999952,64,15,5.89,CN,28800
218,koslan,63.4564,48.8989,-20.019999999999982,99,16,1.7,RU,10800
219,ambilobe,-13.2,49.05,30.100000000000023,51,2,2.17,MG,10800
220,kaitangata,-46.2817,169.8464,11.580000000000041,78,99,3.56,NZ,46800
221,richards bay,-28.783,32.0377,24.29000000000002,89,100,4.56,ZA,7200
222,mossendjo,-2.9506,12.7261,21.450000000000045,94,100,0.76,CG,3600
223,tanout,14.9709,8.8879,20.210000000000036,22,1,5.33,NE,3600
224,aden,12.7794,45.0367,26.129999999999995,69,46,6.28,YE,10800
225,santa cruz,-17.8,-63.1667,24.110000000000014,42,42,1.97,BO,-14400
226,myitkyina,25.3833,97.4,28.189999999999998,31,2,0.77,MM,23400
